XAU_EUR_close, 0.7707796842776935, 0.5054857, 0.7069450615879812, 0.5224719
UK100_GBP_close, 0.7086905085182394, 0.5512443, 0.693398844947019, 0.57463884
XCU_USD_close, 0.7603980343642323, 0.50280976, 0.7303133923590279, 0.4598716
DE30_EUR_close, 0.6955335842022323, 0.5520471, 0.6936385255564081, 0.56420547
EUR_ZAR_close, 0.8119043892706528, 0.49719027, 0.7301407169377249, 0.49197432
NAS100_USD_close, 0.7725775729439174, 0.50334495, 0.7114697198232526, 0.505618
EUR_PLN_close, 0.825703437758347, 0.49879584, 0.7094204308133255, 0.5329053
XAG_GBP_close, 0.7764915922347129, 0.4961199, 0.7230813083258334, 0.50160515
BCO_USD_close, 0.8182743092829894, 0.49799305, 0.716013219345056, 0.5136437
AUD_JPY_close, 0.7673760158574802, 0.48166978, 0.723830519480269, 0.4871589
USD_CAD_close, 0.7174114887491726, 0.49906343, 0.6997822054316488, 0.48876405
XAG_NZD_close, 0.734244012899631, 0.48889485, 0.7018267590773813, 0.50642055
USD_NOK_close, 0.7794112093409721, 0.48300776, 0.7103364798651461, 0.49357945
CAD_SGD_close, 0.8114626359933195, 0.490768, 0.7116075147595107, 0.5072231
HKD_JPY_close, 0.7965184481730269, 0.5017394, 0.7137639894722744, 0.52487963
NZD_JPY_close, 0.7624030909277967, 0.5159219, 0.7297136057437327, 0.48635635
FR40_EUR_close, 0.7183430507312588, 0.5199358, 0.6767856293084342, 0.5963082
USD_HUF_close, 0.7475822111295128, 0.50093657, 0.7081955157543262, 0.5096308
CHF_ZAR_close, 0.7674500250006092, 0.49852824, 0.7078819823111998, 0.5040128
EUR_CZK_close, 0.7579431566351201, 0.51378113, 0.6980978907781084, 0.52086675
AUD_HKD_close, 0.7744545055992437, 0.5022746, 0.7109145190130267, 0.5040128
GBP_NZD_close, 0.7592155778666438, 0.49237356, 0.7009840723408168, 0.5072231
NZD_HKD_close, 0.7762900328361831, 0.50147176, 0.7140241433682449, 0.49117175
NZD_CHF_close, 0.7913017781590408, 0.51137275, 0.7240617011178937, 0.505618
XAU_CHF_close, 0.7725298195909873, 0.5036125, 0.7190648856936067, 0.51605135
USD_SAR_close, 0.586054852892761, 0.7390955, 0.5577261965500601, 0.76404494
GBP_CAD_close, 0.8153503302874525, 0.5153867, 0.7256903321172797, 0.4823435
CAD_JPY_close, 0.739131136504539, 0.5046829, 0.7011506466574692, 0.5224719
EU50_EUR_close, 0.659941415337595, 0.6620284, 0.6702006488894957, 0.6203852
XPT_USD_close, 0.7765341563150785, 0.49130318, 0.7195348960630009, 0.48073837
XAG_CHF_close, 0.8632747880558231, 0.47390956, 0.741810514207445, 0.46388444
USB10Y_USD_close, 0.6885474579424217, 0.5721167, 0.689667101656453, 0.56500804
ZAR_JPY_close, 0.7791756229474642, 0.51378113, 0.7161758815687311, 0.5136437
NZD_SGD_close, 0.7327519092675929, 0.4955847, 0.6995831552898903, 0.49598715
GBP_ZAR_close, 0.7430826414387462, 0.49210596, 0.7083815178365999, 0.49598715
SOYBN_USD_close, 0.7601274586885027, 0.5242173, 0.6846181541729126, 0.58908504
XAG_EUR_close, 0.7719420794021774, 0.50628847, 0.7090138741327902, 0.49839488
NZD_CAD_close, 0.7725420369641297, 0.50628847, 0.7234147055191175, 0.47271267
XAG_SGD_close, 0.7637302021722536, 0.48782447, 0.7245278323060246, 0.49036917
XAU_SGD_close, 0.7651361459584551, 0.51137275, 0.719039078987238, 0.5024077
CN50_USD_close, 0.8120135282302624, 0.46748728, 0.7250929603033234, 0.45585874
USD_INR_close, 0.7435094544617671, 0.5185978, 0.7040332485929155, 0.5008026
CAD_HKD_close, 0.8337427841203877, 0.51190794, 0.7282471343946687, 0.5136437
SGD_CHF_close, 0.7664682319497947, 0.49852824, 0.7250776386567142, 0.49117175
CAD_CHF_close, 0.7611373853230495, 0.51030236, 0.7223575729428287, 0.4927769
AUD_SGD_close, 0.7634516999081619, 0.49986622, 0.712919724217196, 0.50160515
EUR_NOK_close, 0.7501530241832268, 0.5052181, 0.7130038761212394, 0.50642055
AU200_AUD_close, 0.7535933993990038, 0.4947819, 0.7166227704066526, 0.4975923
EUR_CHF_close, 0.7453360226755956, 0.49879584, 0.7091946553074147, 0.47913322
SG30_SGD_close, 0.7808002157424394, 0.47497994, 0.7049747930292525, 0.5048154
USB30Y_USD_close, 0.8302221710043283, 0.48835966, 0.7223716547554224, 0.5128411
XAG_CAD_close, 0.7608130370865603, 0.5124431, 0.6955998015633365, 0.53370786
GBP_USD_close, 0.7806079511754743, 0.49183837, 0.7186662864723328, 0.5128411
USD_MXN_close, 0.7567303367467497, 0.49745786, 0.717770910569217, 0.49438202
USD_CHF_close, 0.7419385953577311, 0.49826065, 0.7112421012613593, 0.5
XAU_USD_close, 0.8520774437777014, 0.509232, 0.7213513543096821, 0.52889246
AUD_CHF_close, 0.7446032446082148, 0.4958523, 0.702168783158016, 0.5168539
EUR_DKK_close, 0.7999339473735594, 0.4902328, 0.7158838695163329, 0.5080257
CORN_USD_close, 0.905757414025038, 0.40915173, 0.7503962401976363, 0.4670947
AUD_USD_close, 0.778902194207768, 0.49371153, 0.7097052287902342, 0.5144462
NL25_EUR_close, 0.7735433158531271, 0.49237356, 0.6705532834579627, 0.6011236
WTICO_USD_close, 0.7246148521835739, 0.5036125, 0.694369039030366, 0.5216693
DE10YB_EUR_close, 0.7364398728789957, 0.5341183, 0.688101203158426, 0.5674157
CHF_HKD_close, 0.757000529737373, 0.50388014, 0.7096305606261877, 0.50160515
USD_THB_close, 0.7356543810985801, 0.5097672, 0.7003921203398973, 0.5272873
GBP_CHF_close, 0.7040383722937168, 0.5081616, 0.6967875623588194, 0.4847512
TRY_JPY_close, 0.7242742446868025, 0.49879584, 0.7035120707453733, 0.49919742
XAU_XAG_close, 0.7862782404325147, 0.47899383, 0.7158524786297047, 0.4871589
XAU_NZD_close, 0.7258410889068198, 0.4803318, 0.6931164767922023, 0.5216693
AUD_CAD_close, 0.7539957671169294, 0.4765855, 0.7033868125889504, 0.4975923
SGD_JPY_close, 0.7615633677249609, 0.49424672, 0.7075336443478567, 0.49598715
EUR_NZD_close, 0.7290499915182191, 0.49959862, 0.7011511122051441, 0.49839488
USD_HKD_close, 0.7788160060509214, 0.50682366, 0.7147684469460293, 0.5120385
EUR_AUD_close, 0.7809161447349449, 0.49103558, 0.7269536430916089, 0.48876405
XAG_JPY_close, 0.7288398371841425, 0.49799305, 0.7055008262156675, 0.50321025
UK10YB_GBP_close, 0.6286161451503048, 0.66657746, 0.553671968308536, 0.7800963
XAG_USD_close, 0.7977317301608804, 0.5135135, 0.722333774999095, 0.5072231
XAU_GBP_close, 0.754388234610222, 0.5049505, 0.7164977720996925, 0.48635635
USD_DKK_close, 0.7950348322774945, 0.4867541, 0.7160121194814985, 0.5104334
CHF_JPY_close, 0.7409062735499116, 0.5022746, 0.6989485493249725, 0.5048154
XAU_AUD_close, 0.7422574997458637, 0.48220497, 0.6999254077433774, 0.51123595
USB02Y_USD_close, 0.7716926300401257, 0.52956915, 0.7001667488635447, 0.54895663
EUR_HKD_close, 0.807896382259372, 0.50254214, 0.727900325008227, 0.48394865
XAU_JPY_close, 0.779987217718374, 0.50093657, 0.7143730586260126, 0.4951846
TWIX_USD_close, 0.8414444474571683, 0.45999464, 0.7272717771905192, 0.48635635
EUR_JPY_close, 0.7403982835304683, 0.48889485, 0.709941552309125, 0.48154092
WHEAT_USD_close, 0.6947274222902222, 0.6023548, 0.6676901182814547, 0.62760836
GBP_PLN_close, 0.7509782711930667, 0.49157077, 0.7141105458977517, 0.49036917
GBP_JPY_close, 0.7239843322562763, 0.50789404, 0.70035291368659, 0.4975923
USD_TRY_close, 0.8811321022008427, 0.49906343, 0.7497135192203674, 0.5144462
HK33_HKD_close, 0.776050368381242, 0.52609044, 0.6622669117025923, 0.62760836
EUR_CAD_close, 0.7775969693518463, 0.49344394, 0.7228372443353767, 0.4670947
USD_SEK_close, 0.7567494117642648, 0.4961199, 0.7089964781871385, 0.5128411
GBP_SGD_close, 0.7337635126476273, 0.50280976, 0.7031836890485467, 0.5280899
XAU_HKD_close, 0.7546812099730359, 0.49397913, 0.6957125478150565, 0.5313002
EUR_GBP_close, 0.7967182336275929, 0.51030236, 0.7179778614357999, 0.5184591
US2000_USD_close, 0.7724994797103061, 0.4953171, 0.7247303356902366, 0.48956662
XPD_USD_close, 0.8189524169876705, 0.49906343, 0.7496952791466568, 0.4775281
SUGAR_USD_close, 0.6419817076221902, 0.6304522, 0.5648532813089043, 0.7600321
US30_USD_close, 0.7937028764370517, 0.49424672, 0.7120214434726281, 0.50642055
GBP_HKD_close, 0.709138911740806, 0.4902328, 0.7008773634751383, 0.49598715
USB05Y_USD_close, 0.7384636637550132, 0.51137275, 0.7014468567711967, 0.53451043
NATGAS_USD_close, 0.7163739409203003, 0.5228793, 0.686792872690657, 0.5529695
USD_ZAR_close, 0.7952874873390738, 0.5052181, 0.7089688610494806, 0.5224719